,ip,event_date,tcm_id,response
72,246877993,2019-03-27,tcm:526-681575,0
73,246877993,2019-03-27,tcm:526-208086,0
74,246877993,2019-03-27,tcm:526-12180,0
75,246877993,2019-03-27,tcm:526-674187,0
76,246877993,2019-03-27,tcm:526-670542,0
77,246877993,2019-03-27,tcm:526-654768,0
78,246877993,2019-03-27,tcm:526-80807,0
79,246877993,2019-03-27,tcm:526-418532,0
80,224772209,2019-07-24,tcm:526-239640,0
81,224772209,2019-07-24,tcm:526-244935,0
82,224772209,2019-07-24,tcm:526-40469,0
83,224772209,2019-07-24,tcm:526-653510,0
84,224772209,2019-07-24,tcm:526-695181,0
85,224772209,2019-07-24,tcm:526-208086,0
86,224772209,2019-07-24,tcm:526-149043,0
87,224772209,2019-07-24,tcm:526-16645,1
88,224772209,2019-07-24,tcm:526-13782,0
89,224772209,2019-06-26,tcm:526-12174,0
90,224772209,2019-06-26,tcm:526-149043,0
91,224772209,2019-06-26,tcm:526-16645,0
92,224772209,2019-06-26,tcm:526-208086,0
93,224772209,2019-06-26,tcm:526-191289,0
94,224772209,2019-06-26,tcm:526-682379,1
95,224772209,2019-06-26,tcm:526-653510,1
96,224772209,2019-06-26,tcm:526-244935,0
97,224772209,2019-04-25,tcm:526-208086,0
98,224772209,2019-04-25,tcm:526-656536,0
99,224772209,2019-04-25,tcm:526-93195,1
100,224772209,2019-04-25,tcm:526-249037,1
101,224772209,2019-04-25,tcm:526-782343,0
102,224772209,2019-04-25,tcm:526-12174,0
103,224772209,2019-04-25,tcm:526-684643,1
104,224772209,2019-04-25,tcm:526-70899,0
105,224772209,2019-04-25,tcm:526-679101,0
106,224772209,2019-10-30,tcm:526-22867,0
107,224772209,2019-10-30,tcm:526-231792,0
108,224772209,2019-10-30,tcm:526-259315,0
109,224772209,2019-10-30,tcm:526-153236,0
110,224772209,2019-10-30,tcm:526-12174,0
111,224772209,2019-10-30,tcm:526-12167,0
112,224772209,2019-10-30,tcm:526-116442,0
113,224772209,2019-10-30,tcm:526-18025,0
114,224772209,2019-10-30,tcm:526-208086,0
115,224772209,2019-01-30,tcm:526-204679,0
116,224772209,2019-01-30,tcm:526-346380,0
117,224772209,2019-01-30,tcm:526-273898,0
118,224772209,2019-01-30,tcm:526-209028,0
119,224772209,2019-01-30,tcm:526-261006,1
120,224772209,2019-01-30,tcm:526-782343,0
121,224772209,2019-01-30,tcm:526-784445,0
122,224772209,2019-09-26,tcm:526-208086,0
123,224772209,2019-09-26,tcm:526-12174,0
124,224772209,2019-09-26,tcm:526-12167,0
125,224772209,2019-09-26,tcm:526-116442,0
126,224772209,2019-09-26,tcm:526-10849,0
127,224772209,2019-09-26,tcm:526-10838,0
128,224772209,2019-09-26,tcm:526-258965,0
129,224772209,2019-09-26,tcm:526-707567,0
130,224772209,2019-02-27,tcm:526-492865,0
131,224772209,2019-02-27,tcm:526-418532,0
132,224772209,2019-02-27,tcm:526-276414,0
133,224772209,2019-02-27,tcm:526-249921,0
134,224772209,2019-02-27,tcm:526-228258,0
135,224772209,2019-02-27,tcm:526-224772,1
136,224772209,2019-02-27,tcm:526-551763,1
137,224772209,2019-02-27,tcm:526-187302,0
138,224772209,2019-05-30,tcm:526-653510,1
